countryLabel,capitalLabel,flagImage
Венгрия,Будапешт,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hungary.svg
Венесуэла,Каракас,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Venezuela.svg
Восточный Тимор,Дили,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20East%20Timor.svg
Вьетнам,Ханой,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Vietnam.svg
Габон,Либревиль,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Gabon.svg
Гайана,Джорджтаун,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Guyana.svg
Гамбия,Банжул,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20The%20Gambia.svg
Гана,Аккра,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ghana.svg
Гватемала,Гватемала,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Guatemala.svg
Гвинея,Конакри,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Guinea.svg
Гвинея-Бисау,Бисау,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Guinea-Bissau.svg
Германия,Берлин,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Germany.svg
Гондурас,Тегусигальпа,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Honduras.svg
Государство Палестина,Рамалла,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Palestine.svg
Государство Палестина,Иерусалим,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Palestine.svg
Гренада,Сент-Джорджес,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Grenada.svg
Греция,Афины,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Greece.svg
Грузия,Тбилиси,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Georgia.svg
Датское королевство,Копенгаген,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Denmark.svg
Демократическая Республика Конго,Киншаса,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Democratic%20Republic%20of%20the%20Congo.svg
Джибути,Джибути,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Djibouti.svg
Доминика,Розо,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Dominica.svg
Доминиканская Республика,Санто-Доминго,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Dominican%20Republic.svg
Египет,Каир,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Egypt.svg
Замбия,Лусака,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zambia.svg
Зимбабве,Хараре,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zimbabwe.svg
Израиль,Иерусалим,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Israel.svg
Индия,Нью-Дели,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20India.svg
Индонезия,Джакарта,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Indonesia.svg
Иордания,Амман,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Jordan.svg
Ирак,Багдад,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Iraq.svg
Иран,Тегеран,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Iran.svg
Ирландия,Дублин,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ireland.svg
Исландия,Рейкьявик,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Iceland.svg
Испания,Мадрид,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain.svg
Италия,Рим,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Italy.svg
Йемен,Аден,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Yemen.svg
Йемен,Сана,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Yemen.svg
КНДР,Пхеньян,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20North%20Korea.svg
Кабо-Верде,Прая,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cape%20Verde.svg
Казахстан,Нур-Султан,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kazakhstan.svg
Камбоджа,Пномпень,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cambodia.svg
Камерун,Яунде,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cameroon.svg
Канада,Оттава,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Canada%20%28Pantone%29.svg
Катар,Доха,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Qatar.svg
Кения,Найроби,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kenya.svg
Кипр,Никосия,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cyprus.svg
Киргизия,Бишкек,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kyrgyzstan.svg
Кирибати,Южная Тарава,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kiribati.svg
Китай,Пекин,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20People%27s%20Republic%20of%20China.svg
Китайская Республика,Тайбэй,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Republic%20of%20China.svg
Колумбия,Богота,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Colombia.svg
Коморы,Морони,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Comoros.svg
Королевство Нидерландов,Амстердам,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Netherlands.svg
Коста-Рика,Сан-Хосе,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Costa%20Rica%20%28state%29.svg
Кот-д’Ивуар,Ямусукро,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20C%C3%B4te%20d%27Ivoire.svg
Куба,Гавана,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cuba.svg
Кувейт,Эль-Кувейт,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kuwait.svg
Лаос,Вьентьян,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Laos.svg
Латвия,Рига,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Latvia.svg
Лесото,Масеру,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lesotho.svg
Либерия,Монровия,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Liberia.svg
Ливан,Бейрут,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lebanon.svg
Ливия,Триполи,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Libya.svg
Литва,Вильнюс,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lithuania.svg
Лихтенштейн,Вадуц,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Liechtenstein.svg
Люксембург,Люксембург,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Luxembourg.svg
Маврикий,Порт-Луи,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mauritius.svg
Мавритания,Нуакшот,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mauritania.svg
Мадагаскар,Антананариву,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Madagascar.svg
Малави,Лилонгве,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Malawi.svg
Малайзия,Куала-Лумпур,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Malaysia.svg
Мали,Бамако,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mali.svg
Мальдивы,Мале,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Maldives.svg
Мальта,Валлетта,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Malta.svg
Марокко,Рабат,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Morocco.svg
Маршалловы Острова,Маджуро,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Marshall%20Islands.svg
Мексика,Мехико,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mexico.svg
Мозамбик,Мапуту,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mozambique.svg
Молдавия,Кишинёв,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Moldova.svg
Монако,Монако,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Monaco.svg
Монголия,Улан-Батор,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mongolia.svg
Мьянма,Нейпьидо,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Myanmar.svg
Намибия,Виндхук,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Namibia.svg
Науру,Ярен,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nauru.svg
Непал,Катманду,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nepal.svg
Нигер,Ниамей,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Niger.svg
Нигерия,Абуджа,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nigeria.svg
Никарагуа,Манагуа,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nicaragua.svg
Новая Зеландия,Веллингтон,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20New%20Zealand.svg
Норвегия,Осло,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Norway.svg
Объединённые Арабские Эмираты,Абу-Даби,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20United%20Arab%20Emirates.svg
Оман,Маскат,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Oman.svg
Пакистан,Исламабад,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Pakistan.svg
Пакистан,Исламабад,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Pakistan%20%28bordered%29.svg
Палау,Нгерулмуд,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Palau.svg
Панама,Панама,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Panama.svg
Папуа — Новая Гвинея,Порт-Морсби,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Papua%20New%20Guinea.svg
Парагвай,Асунсьон,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Paraguay.svg
Перу,Лима,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Peru.svg
Польша,Варшава,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Poland.svg
Португалия,Лиссабон,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Portugal.svg
Республика Гаити,Порт-о-Пренс,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Haiti.svg
Республика Конго,Браззавиль,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Republic%20of%20the%20Congo.svg
Республика Корея,Сеул,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20South%20Korea.svg
Россия,Москва,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Russia.svg
Руанда,Кигали,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Rwanda.svg
Румыния,Бухарест,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Romania.svg
США,Вашингтон,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20United%20States.svg
Сальвадор,Сан-Сальвадор,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20El%20Salvador.svg
Самоа,Апиа,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Samoa.svg
Сан-Марино,Сан-Марино,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20San%20Marino.svg
Сан-Томе и Принсипи,Сан-Томе,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sao%20Tome%20and%20Principe.svg
Саудовская Аравия,Эр-Рияд,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Saudi%20Arabia.svg
Северная Македония,Скопье,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20North%20Macedonia.svg
Сейшельские Острова,Виктория,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Seychelles.svg
Сенегал,Дакар,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Senegal.svg
Сент-Винсент и Гренадины,Кингстаун,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Saint%20Vincent%20and%20the%20Grenadines.svg
Сент-Китс и Невис,Бастер,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Saint%20Kitts%20and%20Nevis.svg
Сент-Люсия,Кастри,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Saint%20Lucia.svg
Сербия,Белград,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Serbia.svg
Сингапур,Сингапур,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Singapore.svg
Сирия,Дамаск,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Syria.svg
Словакия,Братислава,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Slovakia.svg
Словения,Любляна,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Slovenia.svg
Соломоновы Острова,Хониара,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Solomon%20Islands.svg
Сомали,Могадишо,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Somalia.svg
Судан,Хартум,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sudan.svg
Суринам,Парамарибо,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Suriname.svg
Сьерра-Леоне,Фритаун,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sierra%20Leone.svg
Таджикистан,Душанбе,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tajikistan.svg
Таиланд,Бангкок,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Thailand.svg
Танзания,Додома,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tanzania.svg
Того,Ломе,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Togo.svg
Тонга,Нукуалофа,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tonga.svg
Тринидад и Тобаго,Порт-оф-Спейн,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Trinidad%20and%20Tobago.svg
Тувалу,Фунафути,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tuvalu.svg
Тунис,Тунис,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tunisia.svg
Туркмения,Ашхабад,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Turkmenistan.svg
Турция,Анкара,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Turkey.svg
Уганда,Кампала,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Uganda.svg
Узбекистан,Ташкент,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Uzbekistan.svg
Украина,Киев,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ukraine.svg
Уругвай,Монтевидео,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Uruguay.svg
Федеративные Штаты Микронезии,Паликир,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Federated%20States%20of%20Micronesia.svg
Фиджи,Сува,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Fiji.svg
Филиппины,Манила,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Philippines.svg
Финляндия,Хельсинки,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Finland.svg
Франция,Париж,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France%20%281794%E2%80%931815%2C%201830%E2%80%931974%2C%202020%E2%80%93present%29.svg
Хорватия,Загреб,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Croatia.svg
Центральноафриканская Республика,Банги,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Central%20African%20Republic.svg
Чад,Нджамена,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Chad.svg
Черногория,Подгорица,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Montenegro.svg
Чехия,Прага,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Czech%20Republic.svg
Чили,Сантьяго,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Chile.svg
Швейцария,Берн,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Switzerland.svg
Швейцария,Берн,http://commons.wikimedia.org/wiki/Special:FilePath/Civil%20Ensign%20of%20Switzerland.svg
Швеция,Стокгольм,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sweden.svg
Шри-Ланка,Шри-Джаяварденепура-Котте,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sri%20Lanka.svg
Шри-Ланка,Коломбо,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sri%20Lanka.svg
Эквадор,Кито,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ecuador.svg
Экваториальная Гвинея,Малабо,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Equatorial%20Guinea.svg
Эритрея,Асмэра,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Eritrea.svg
Эсватини,Лобамба,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Eswatini.svg
Эсватини,Мбабане,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Eswatini.svg
Эстония,Таллин,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Estonia.svg
Эфиопия,Аддис-Абеба,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ethiopia.svg
ЮАР,Блумфонтейн,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20South%20Africa.svg
ЮАР,Кейптаун,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20South%20Africa.svg
ЮАР,Претория,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20South%20Africa.svg
Южный Судан,Джуба,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20South%20Sudan.svg
Ямайка,Кингстон,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Jamaica.svg
Япония,Токио,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Japan.svg
