workLabel,publicationYear,authorLabel,authorCountryLabel
Двадцать тысяч льё под водой,1869,Жюль Верн,Франция
1984,1949,Джордж Оруэлл,Великобритания
Обручённые,1827,Алессандро Мандзони,Сардинское королевство
В поисках утраченного времени,1913,Марсель Пруст,Франция
В поисках утраченного времени,1927,Марсель Пруст,Франция
"Лелий, или О дружбе",-43,Марк Туллий Цицерон,Древний Рим
The Jew of Malta,,Кристофер Марло,Королевство Англия
Следопыты,,Софокл,Древние Афины
Трагическая история доктора Фауста,1604,Кристофер Марло,Королевство Англия
Жизнь Пи,,"Мартел, Янн",Канада
С Земли на Луну прямым путём за 97 часов 20 минут,1865,Жюль Верн,Франция
Моби Дик,1851,Герман Мелвилл,США
Эдип в Колоне,,Софокл,Древние Афины
Отверженные,1862,Виктор Гюго,Франция
Приключения Гекльберри Финна,1884,Марк Твен,США
Приключения Гекльберри Финна,1885,Марк Твен,США
Сиддхартха,1922,Герман Гессе,Германия
Сиддхартха,1922,Герман Гессе,Швейцария
Сиддхартха,1922,Герман Гессе,Германская империя
"Кандид, или Оптимизм",1759,Вольтер,Франция
Гоморра,2006,"Савиано, Роберто",Италия
Германия,,Публий Корнелий Тацит,Древний Рим
Сиддхартха,1922,Герман Гессе,Российская империя
Преступление и наказание,1866,Фёдор Михайлович Достоевский,Российская империя
De re militari,500,Вегеций,Древний Рим
Падение,1956,Альбер Камю,Франция
Мировая война Z,2006,Макс Брукс,США
Сто лет одиночества,1967,Габриель Гарсиа Маркес,Колумбия
Бедные люди,1846,Фёдор Михайлович Достоевский,Российская империя
Приключения Оливера Твиста,1837,Чарльз Диккенс,Соединённое королевство Великобритании и Ирландии
Приключения Оливера Твиста,1838,Чарльз Диккенс,Соединённое королевство Великобритании и Ирландии
Странная история доктора Джекила и мистера Хайда,1886,Роберт Льюис Стивенсон,Великобритания
Лекарь поневоле,1666,Мольер,Королевство Франция
Физики (пьеса),1968,Фридрих Дюрренматт,Швейцария
Путешествие к центру Земли,1864,Жюль Верн,Франция
Идиот,1869,Фёдор Михайлович Достоевский,Российская империя
Большие надежды,1861,Чарльз Диккенс,Соединённое королевство Великобритании и Ирландии
Георгики,,Вергилий,Древний Рим
Мать,1907,Максим Горький,СССР
Сказки братьев Гримм,1812,Якоб Гримм,Королевство Пруссия
Сказки братьев Гримм,1813,Якоб Гримм,Королевство Пруссия
Сказки братьев Гримм,1819,Якоб Гримм,Королевство Пруссия
1984,1949,Джордж Оруэлл,Соединённое королевство Великобритании и Ирландии
Братья Карамазовы,1880,Фёдор Михайлович Достоевский,Российская империя
Солярис,1961,Станислав Лем,Польша
Шесть персонажей в поисках автора,1921,Луиджи Пиранделло,Королевство Италия
Визит старой дамы,1956,Фридрих Дюрренматт,Швейцария
О граде Божьем,,Аврелий Августин,Древний Рим
Мать,1907,Максим Горький,Российская империя
Отец Горио,1835,Оноре де Бальзак,Франция
Фрёкен Юлия,1889,Юхан Август Стриндберг,Швеция
"Тартюф, или Обманщик",1669,Мольер,Королевство Франция
"Дон Жуан, или Каменный пир",1682,Мольер,Королевство Франция
Пентесилея,,Генрих фон Клейст,Королевство Пруссия
Мэнсфилд-парк,1814,Джейн Остин,Соединённое королевство Великобритании и Ирландии
Чувство и чувствительность,1811,Джейн Остин,Соединённое королевство Великобритании и Ирландии
Гордость и предубеждение,1813,Джейн Остин,Соединённое королевство Великобритании и Ирландии
Германия. Зимняя сказка,1844,Генрих Гейне,Франция
Сами боги,1972,Айзек Азимов,США
Германия. Зимняя сказка,1844,Генрих Гейне,Германский союз
О мышах и людях,1937,Джон Стейнбек,США
Наставления в христианской вере,1536,Жан Кальвин,Республика Женева
Сами боги,1972,Айзек Азимов,РСФСР
Глазами клоуна,1963,Генрих Бёлль,Германия
Пер Гюнт,1867,Генрик Ибсен,Норвегия
Убийство Роджера Экройда,1926,Агата Кристи,Великобритания
451 градус по Фаренгейту,1953,Рэй Брэдбери,США
Германия. Зимняя сказка,1844,Генрих Гейне,Священная Римская империя
Наставления в христианской вере,1536,Жан Кальвин,Королевство Франция
Альмагест,148,Клавдий Птолемей,Древний Рим
Нортенгерское аббатство,1817,Джейн Остин,Соединённое королевство Великобритании и Ирландии
Час Быка,1970,Иван Антонович Ефремов,СССР
Бесконечная ночь,1967,Агата Кристи,Великобритания
Орест,,Еврипид,Древние Афины
Чудесное путешествие Нильса с дикими гусями,1906,Сельма Лагерлёф,Швеция
Чудесное путешествие Нильса с дикими гусями,1907,Сельма Лагерлёф,Швеция
Мамаша Кураж и её дети,1949,Бертольт Брехт,Австрия
Мамаша Кураж и её дети,1949,Бертольт Брехт,Германская империя
Мёртвые души,1842,Николай Васильевич Гоголь,Российская империя
Неистовый Роланд,1516,Лудовико Ариосто,
Неистовый Роланд,1532,Лудовико Ариосто,
Скромное предложение,1729,Джонатан Свифт,Ирландия
Час Быка,1970,Иван Антонович Ефремов,Российская империя
Трёхгрошовая опера,1928,Бертольт Брехт,Австрия
Трёхгрошовая опера,1931,Бертольт Брехт,Австрия
